"sep=;";;;;;;;;;;;
slug;name;description;parent;keywords;icon;header_type;header_image;header_image_align;category_featured;header_height;taxonomy_image
afghanistan;Afghanistan;;0;;;none;;image-left;0;;
africa;Africa;;0;;;none;;image-left;0;;
australia;Australia;;0;;;none;;image-left;0;;
australian;australian;;0;;;;;;;;
bangladesh;Bangladesh;;0;;;none;;image-left;0;;
belgium;Belgium;;0;;;none;;image-left;0;;
brazil;Brazil;;0;;;none;;image-left;0;;
canada;Canada;;0;;;none;;image-left;0;;
chile;Chile;;0;;;none;;image-left;0;;
china;China;;0;;;none;;image-left;0;;
colombia;Colombia;;0;;;none;;image-left;0;;
egypt;Egypt;;0;;;none;;image-left;0;;
ethiopia;Ethiopia;;0;;;none;;image-left;0;;
france;France;;0;;;none;;image-left;0;;
germany;Germany;;0;;;none;;image-left;0;;
india;India;;0;;;none;;image-left;0;;
indonesia;Indonesia;;0;;;none;;image-left;0;;
ireland;Ireland;;0;;;none;;image-left;0;;
israel;Israel;;0;;;none;;image-left;0;;
italy;Italy;;0;;;none;;image-left;0;;
japan;Japan;;0;;;none;;image-left;0;;
kenya;Kenya;;0;;;none;;image-left;0;;
malawi;Malawi;;0;;;none;;image-left;0;;
metro-chicagounited-states;metro-chicagounited-states;;0;;;;;;;;
metro-denverunited-states-regional;metro-denverunited-states-regional;;0;;;;;;;;
metro-new-yorkunited-states;metro-new-yorkunited-states;;0;;;;;;;;
metro-seattleunited-states-regional;metro-seattleunited-states-regional;;0;;;;;;;;
metro-united;metro-united;;0;;;;;;;;
mexico;Mexico;;0;;;none;;image-left;0;;
middle-east;Middle East;;0;;;none;;image-left;0;;
new-zealand;New Zealand;;0;;;none;;image-left;0;;
nigeria;Nigeria;;0;;;none;;image-left;0;;
pakistan;Pakistan;;0;;;none;;image-left;0;;
peru;Peru;;0;;;none;;image-left;0;;
philippines;Philippines;;0;;;none;;image-left;0;;
russia;Russia;;0;;;none;;image-left;0;;
rwanda;Rwanda;;0;;;none;;image-left;0;;
singapore;Singapore;;0;;;none;;image-left;0;;
south-africa;South Africa;;0;;;none;;image-left;0;;
southeast-asia;Southeast Asia;;0;;;none;;image-left;0;;
spain;Spain;;0;;;none;;image-left;0;;
tanzania;Tanzania;;0;;;none;;image-left;0;;
turkey;Turkey;;0;;;none;;image-left;0;;
united-states;U.S.;;0;;;none;;image-left;0;;
metro-atlanta;Metro Atlanta;;united-states;;;none;;image-left;0;;
metro-baltimore;Metro Baltimore;;united-states;;;none;;image-left;0;;
metro-boston;Metro Boston;;united-states;;;none;;image-left;0;;
metro-chicago;Metro Chicago;;united-states;;;none;;image-left;0;;
metro-d-c;Metro D.C.;;united-states;;;none;;image-left;0;;
metro-dc;Metro D.C.;;united-states;;;map;;image-left;0;;
metro-dallas;Metro Dallas;;united-states;;;none;;image-left;0;;
metro-denver;Metro Denver;;united-states;;;map;;image-left;0;;
metro-detroit;Metro Detroit;;united-states;;;none;;image-left;0;;
metro-houston;Metro Houston;;united-states;;;none;;image-left;0;;
metro-las-vegas;Metro Las Vegas;;united-states;;;none;;image-left;0;;
metro-los-angeles;Metro Los Angeles;;united-states;;;map;;image-left;0;;
metro-miami;Metro Miami;;united-states;;;none;;image-left;0;;
metro-minneapolis-st-paul;Metro Minneapolis-St. Paul;;united-states;;;none;;image-left;0;;
metro-new-orleans;Metro New Orleans;;united-states;;;none;;image-left;0;;
metro-new-york;Metro New York;;united-states;;;none;;image-left;0;;
metro-philadelphia;Metro Philadelphia;;united-states;;;none;;image-left;0;;
metro-phoenix;Metro Phoenix;;united-states;;;none;;image-left;0;;
metro-pittsburgh;Metro Pittsburgh;;united-states;;;none;;image-left;0;;
metro-san-diego;Metro San Diego;;united-states;;;none;;image-left;0;;
metro-san-francisco;Metro San Francisco;;united-states;;;none;;image-left;0;;
metro-seattle;Metro Seattle;;united-states;;;none;;image-left;0;;
metro-st-louis;Metro St. Louis;;united-states;;;none;;image-left;0;;
united-states-regional;U.S. Regional;;united-states;;;none;;image-left;0;;
uganda;Uganda;;0;;;none;;image-left;0;;
united-kingdom;United Kingdom;;0;;;none;;image-left;0;;
zambia;Zambia;;0;;;none;;image-left;0;;
