"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
michael-herrod;Michael Herrod;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/2731008723/4066b8720ad46a25e8d2ea11c6b22909_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/mherroditv|https://linkedin.com/pub/michael-herrod/1/632/157;1;;;0;;;
ruth-hetherington;Ruth Hetherington;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/550652880353755136/IoDlxhMm_400x400.jpeg;world|journalism|journalist;middle-east;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/hetherir;1;;;0;;;
gavin-hewitt;Gavin Hewitt;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1355951432/BBCgavinhewitt_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/BBCGavinHewitt|https://linkedin.com/pub/gavin-hewitt/32/98/b3;1;;;0;;;
david-hickey;David Hickey;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/593890845146873856/E8pQacxa_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-foursquare|fa-tumblr;http://twitter.com/davidahickey|https://facebook.com/DavidAHickey|https://linkedin.com/in/dahickey|https://flickr.com/people/regenrenewal|https://foursquare.com/user/4123349|http://davidahickey.tumblr.com/;1;;;0;;;
billy-hill;Billy Hill;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/751474733863010305/prarQD-g_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin;http://twitter.com/campaignbill|https://linkedin.com/pub/billy-hill/54/146/299;1;;;0;;;
mike-hills;Mike Hills;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/663418413507850240/Ty_-1WsZ_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-google-plus|fa-youtube;http://twitter.com/mikewhills|https://facebook.com/mikewhills|https://linkedin.com/in/mikewhills|https://flickr.com/people/mikewhills|https://plus.google.com/u//113961114475453589332|http://youtube.com/user/mikewhills;1;;;0;;;
lindsey-hilsum;Lindsey Hilsum;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/570276089147031552/DEQW-9xq_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/lindseyhilsum;1;;;0;;;
kiyoshi-hirata;Kiyoshi Hirata;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://www.gravatar.com/avatar/?d=mm&s=256;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;;;1;;;0;;;
rico-hizon;Rico Hizon;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://s3.amazonaws.com/media.muckrack.com/profile/images/109458/ricohizonon-airjpg.256x256_q100_crop-smart.jpg;world|journalism|journalist;singapore;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/RicoHizon|https://facebook.com/11317972715|https://linkedin.com/in/rico-hizon-84b975;1;;;0;;;
kim-hjelmgaard;Kim Hjelmgaard;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/427544386764029952/MXrkc2vO_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-foursquare;http://twitter.com/khjelmgaard|https://facebook.com/kim.hjelmgaard|https://linkedin.com/in/kimhjelmgaard|https://foursquare.com/user/898978;1;;;0;;;
